Author,Authority,Category,Compatibility,Content_rating,Description,Detail,Developer_address,Developer_email,Developer_website,Icon,Installs,Item_name,Link,Package,Price,Rating,Review_number,Score,Similar,Size,Update,Version
,"{'Camera': ['take pictures and videos'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Phone': ['read phone status and identity'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Microphone': ['record audio'], 'Device ID & call information': ['read phone status and identity'], 'Identity': ['find accounts on the device'], 'Contacts': ['find accounts on the device', 'read your contacts'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['change network connectivity', 'change your audio settings', 'connect and disconnect from Wi-Fi', 'control vibration', 'draw over other apps', 'full network access', 'modify system settings', 'prevent device from sleeping', 'send sticky broadcast', 'view network connections'], 'Uncategorized': ['Access download manager.', 'download files without notification', 'receive data from Internet']}",,,,,,,,,,,,,hk.easyvan.app.client,,,,,,,,
,"{'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.jonaxx.stories,,,,,,,,
,"{'Wi-Fi connection information': ['view Wi-Fi connections'], 'Camera': ['take pictures and videos'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.twofasapp,,,,,,,,
,"{'Camera': ['take pictures and videos'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Contacts': ['find accounts on the device', 'modify your contacts', 'read your contacts'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Identity': ['add or remove accounts', 'find accounts on the device'], 'Other': ['control vibration', 'create accounts and set passwords', 'full network access', 'prevent device from sleeping', 'read sync settings', 'run at startup', 'toggle sync on and off', 'view network connections'], 'Uncategorized': ['read sync statistics', 'receive data from Internet']}",,,,,,,,,,,,,com.yahoo.mobile.client.android.mail,,,,,,,,
,"{'Contacts': ['find accounts on the device', 'modify your contacts', 'read your contacts'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Device ID & call information': ['read phone status and identity'], 'Identity': ['add or remove accounts', 'find accounts on the device', 'read your own contact card'], 'Phone': ['read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['change network connectivity', 'connect and disconnect from Wi-Fi', 'control Near Field Communication', 'control vibration', 'draw over other apps', 'full network access', 'install shortcuts', 'measure app storage space', 'modify system settings', 'pair with Bluetooth devices', 'prevent device from sleeping', 'read Google service configuration', 'read sync settings', 'run at startup', 'set wallpaper', 'toggle sync on and off', 'use accounts on the device', 'view network connections'], 'Uncategorized': ['download files without notification', 'modify/delete internal media storage contents', 'read subscribed feeds', 'receive data from Internet', 'write subscribed feeds']}",,,,,,,,,,,,,com.google.android.apps.photos,,,,,,,,
,"{'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'SMS': ['receive text messages (SMS)', 'send SMS messages'], 'Microphone': ['record audio'], 'Phone': ['directly call phone numbers', 'read call log', 'read phone status and identity'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Contacts': ['find accounts on the device', 'modify your contacts', 'read your contacts'], 'Identity': ['add or remove accounts', 'find accounts on the device', 'read your own contact card'], 'Device & app history': ['retrieve running apps'], 'Device ID & call information': ['read phone status and identity'], 'Other': ['change network connectivity', 'change your audio settings', 'connect and disconnect from Wi-Fi', 'control Near Field Communication', 'control vibration', 'create accounts and set passwords', 'full network access', 'install shortcuts', 'pair with Bluetooth devices', 'prevent device from sleeping', 'read Google service configuration', 'read sync settings', 'run at startup', 'send sticky broadcast', 'toggle sync on and off', 'uninstall shortcuts', 'use accounts on the device', 'view network connections'], 'Uncategorized': ['read sync statistics', 'receive data from Internet']}",,,,,,,,,,,,,com.whatsapp,,,,,,,,
,"{'Contacts': ['read your contacts'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'SMS': ['read your text messages (SMS or MMS)'], 'Phone': ['read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Device ID & call information': ['read phone status and identity'], 'Other': ['control vibration', 'full network access', 'pair with Bluetooth devices', 'prevent device from sleeping', 'view network connections'], 'Uncategorized': ['manage document storage', 'receive data from Internet']}",,,,,,,,,,,,,ooifxdso.opxosduf.oqexred,,,,,,,,
,"{'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['full network access', 'view network connections']}",,,,,,,,,,,,,com.word.bakery.puzzle.pro,,,,,,,,
,"{'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Contacts': ['read your contacts'], 'Phone': ['directly call phone numbers', 'read phone status and identity'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Device ID & call information': ['read phone status and identity'], 'Other': ['control flashlight', 'control vibration', 'full network access', 'pair with Bluetooth devices', 'prevent device from sleeping', 'read Google service configuration', 'reorder running apps', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.oriente.cashalo,,,,,,,,
,"{'Contacts': ['find accounts on the device'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Identity': ['add or remove accounts', 'find accounts on the device'], 'Other': ['create accounts and set passwords', 'full network access', 'prevent device from sleeping', 'read Google service configuration', 'run at startup', 'use accounts on the device', 'view network connections'], 'Uncategorized': ['Modify Google service configuration', 'receive data from Internet']}",,,,,,,,,,,,,com.booknet,,,,,,,,
